session,date,month,day,year,title,keywords,kw_1,kw_2,kw_3,kw_4,kw_5,kw_6,kw_7,kw_8,kw_9,kw_10
119.0,"July 29, 2025",7.0,29,2025,PERSPECTIVES ON REAUTHORIZATION OF THE  U.S. GRAIN STANDARDS ACT,agriculture nutrition; forests act; farm bureau; nutrition forestry; USDA; 2025 statements; grain; tribal consultation; american farmers; advance appropriations,agriculture nutrition,forests act,farm bureau,nutrition forestry,USDA,2025 statements,grain,tribal consultation,american farmers,advance appropriations
119.0,"March 11, 2025",3.0,11,2025,STABILIZING THE MILITARY HEALTH SYSTEM TO PREPARE FOR LARGE-SCALE COMBAT OPERATIONS,military health; tribal consultation; armed services; department veterans; 2025 statements; readiness; active duty; health board; south dakota; reauthorization,military health,tribal consultation,armed services,department veterans,2025 statements,readiness,active duty,health board,south dakota,reauthorization
119.0,"March 6, 2025",3.0,6,2025,DEFENSE MOBILIZATION IN THE 21ST CENTURY,armed services; mobilization; american legion; department defense; national guard; 2025 statements; tribal consultation; reauthorization; iowa; constitution,armed services,mobilization,american legion,department defense,national guard,2025 statements,tribal consultation,reauthorization,iowa,constitution
119.0,"January 20, 2025",1.0,20,2025,UNITED STATES NORTHERN COMMAND AND  UNITED STATES SOUTHERN COMMAND,armed services; north dakota; pursuant notice; american legion; national guard; tribal consultation; pact act; executive orders; washington 2025; va employees,armed services,north dakota,pursuant notice,american legion,national guard,tribal consultation,pact act,executive orders,washington 2025,va employees
119.0,"January 16, 2025",1.0,16,2025,NOMINATION OF ERIC SCOTT TURNER,banks; hrg 119; nomination; 2025 statements; filed; advance appropriations; state level; alderman; rick scott; mcconnell,banks,hrg 119,nomination,2025 statements,filed,advance appropriations,state level,alderman,rick scott,mcconnell
119.0,"March 5, 2025",3.0,5,2025,"NOMINATION OF THE HONORABLE DAN BISHOP,  OF NORTH CAROLINA, TO BE  DEPUTY DIRECTOR OF THE OFFICE  OF MANAGEMENT AND BUDGET",executive branch; management budget; 2025 statements; mcconnell; secretary collins; nomination; advance appropriations; deputy director; welch; fiscal year,executive branch,management budget,2025 statements,mcconnell,secretary collins,nomination,advance appropriations,deputy director,welch,fiscal year
119.0,"January 22, 2025",1.0,22,2025,"NOMINATION OF THE HONORABLE RUSSELL T. VOUGHT, OF VIRGINIA, TO BE DIRECTOR OF THE OFFICE OF MANAGEMENT AND BUDGET",nomination; va employees; management budget; secretary collins; 2025 statements; welch; executive branch; director office; advance appropriations; chair ernst,nomination,va employees,management budget,secretary collins,2025 statements,welch,executive branch,director office,advance appropriations,chair ernst
119.0,"June 18, 2025",6.0,18,2025,AMERICA'S RAIL NETWORK,railroads; cruz ranking; science transportation; hrg 119; bureau indian; forward hearing; washington 2025; executive branch; roger wicker; mississippi,railroads,cruz ranking,science transportation,hrg 119,bureau indian,forward hearing,washington 2025,executive branch,roger wicker,mississippi
119.0,"June 17, 2025",6.0,17,2025,"SUBCOMMITTEE ON CONSUMER PROTECTION,  TECHNOLOGY, AND DATA PRIVACY",doping agency; science transportation; cruz ranking; wada; hrg 119; tariffs; south dakota; 2025 statements; roger wicker; tribal consultation,doping agency,science transportation,cruz ranking,wada,hrg 119,tariffs,south dakota,2025 statements,roger wicker,tribal consultation
119.0,"June 12, 2025",6.0,12,2025,CONFLICTS OVER OCEAN RESOURCES,north dakota; roger wicker; science transportation; tariffs; fisheries; hrg 119; tribal consultation; 2025 statements; cruz ranking; mississippi,north dakota,roger wicker,science transportation,tariffs,fisheries,hrg 119,tribal consultation,2025 statements,cruz ranking,mississippi
119.0,"May 15, 2025",5.0,15,2025,ENSURING THE SAFE AND EFFICIENT MOVEMENT OF AMERICAN ENERGY,pipeline safety; science transportation; hrg 119; executive branch; american farmers; Natural Gas; railroads; forward hearing; state level; south dakota,pipeline safety,science transportation,hrg 119,executive branch,american farmers,Natural Gas,railroads,forward hearing,state level,south dakota
119.0,"May 8, 2025",5.0,8,2025,CAPABILITIES IN COMPUTING AND INNOVATION,science transportation; cruz ranking; iowa; 2025 statements; roger wicker; intelligence community; hrg 119; bureau indian; conducted; tariffs,science transportation,cruz ranking,iowa,2025 statements,roger wicker,intelligence community,hrg 119,bureau indian,conducted,tariffs
119.0,"May 6, 2025",5.0,6,2025,FOR SPORTS FANS,cruz ranking; science transportation; iowa; roger wicker; hrg 119; legislative; mcconnell; conference; stations; forward hearing,cruz ranking,science transportation,iowa,roger wicker,hrg 119,legislative,mcconnell,conference,stations,forward hearing
119.0,"April 10, 2025",4.0,10,2025,BEFORE THE,clock; cruz ranking; legislative; 2025 statements; hiring freeze; roger wicker; north dakota; science transportation; mcconnell; forward hearing,clock,cruz ranking,legislative,2025 statements,hiring freeze,roger wicker,north dakota,science transportation,mcconnell,forward hearing
119.0,"April 2, 2025",4.0,2,2025,AS A GREAT AMERICAN MANUFACTURER,boeing; cruz ranking; science transportation; farm bureau; hrg 119; safety quality; legislative; idaho; chair ernst; tariffs,boeing,cruz ranking,science transportation,farm bureau,hrg 119,safety quality,legislative,idaho,chair ernst,tariffs
119.0,"March 27, 2025",3.0,27,2025,THE DCA MIDAIR COLLISION,science transportation; chair ernst; south dakota; cruz ranking; 2025 statements; faa; forward hearing; hrg 119; impacts; conducted,science transportation,chair ernst,south dakota,cruz ranking,2025 statements,faa,forward hearing,hrg 119,impacts,conducted
119.0,"February 27, 2025",2.0,27,2025,EXAMINING THE COSTLY THREAT TO CONSUMERS AND THE U.S. SUPPLY CHAIN,cargo theft; hrg 119; commerce science; farm bureau; tariffs; great state; freight rail; cruz ranking; 2025 statements; nineteenth,cargo theft,hrg 119,commerce science,farm bureau,tariffs,great state,freight rail,cruz ranking,2025 statements,nineteenth
119.0,"February 26, 2025",2.0,26,2025,A VIEW FROM THE FRONT LINES,drug trafficking; smuggling; cruz ranking; trafficking; traffickers; farm bureau; new mexico; science transportation; substance abuse; cbp,drug trafficking,smuggling,cruz ranking,trafficking,traffickers,farm bureau,new mexico,science transportation,substance abuse,cbp
119.0,"February 19, 2025",2.0,19,2025,HOW SPECTRUM AUCTION DELAYS GIVE CHINA  THE EDGE AND COST US JOBS,tariffs; hiring freeze; cruz ranking; south dakota; delays; science transportation; clerk; aarp; american worker; usdot,tariffs,hiring freeze,cruz ranking,south dakota,delays,science transportation,clerk,aarp,american worker,usdot
119.0,"February 12, 2025",2.0,12,2025,LOOKING AT THE ARCTIC AND GREENLAND'S GEOSTRATEGIC IMPORTANCE TO U.S.  INTERESTS,indian alaska; science transportation; tariffs; mcconnell; hrg 119; north dakota; 2025 statements; usdot; Natural Gas; navajo nation,indian alaska,science transportation,tariffs,mcconnell,hrg 119,north dakota,2025 statements,usdot,Natural Gas,navajo nation
119.0,"January 28, 2025",1.0,28,2025,EXAMINING THE PANAMA CANAL AND ITS  IMPACT ON U.S. TRADE AND NATIONAL SECURITY,panama canal; tariffs; science transportation; cruz ranking; executive branch; usda; mississippi; advance appropriations; hrg 119; tribal governments,panama canal,tariffs,science transportation,cruz ranking,executive branch,usda,mississippi,advance appropriations,hrg 119,tribal governments
119.0,na,,na,na,IMPROVING THE FEDERAL ENVIRONMENT REVIEW  AND PERMITTING PROCESS,executive branch; tribal consultation; environmental; 2025 statements; farm bureau; roger wicker; assessments; forests act; west virginia; forward hearing,executive branch,tribal consultation,environmental,2025 statements,farm bureau,roger wicker,assessments,forests act,west virginia,forward hearing
119.0,"July 23, 2024",7.0,23,2024,TRANSATLANTIC SECURITY COOPERATION,nato; 2025 statements; hrg 119; tribal consultation; mcconnell; southern border; usda; executive order; homeland security; treaty obligations,nato,2025 statements,hrg 119,tribal consultation,mcconnell,southern border,usda,executive order,homeland security,treaty obligations
119.0,"December 18, 2002",,18,2002,ADVANCING AMERICAN INTERESTS IN THE WESTERN HEMISPHERE,indian affairs; western hemisphere; 2025 statements; foreign assistance; mcconnell; executive order; usdot; biden administration; state level; treaty obligations,indian affairs,western hemisphere,2025 statements,foreign assistance,mcconnell,executive order,usdot,biden administration,state level,treaty obligations
119.0,"February 13, 2025",2.0,13,2025,BEFORE THE,syria; pursuant notice; 2025 statements; tribal consultation; mcconnell; biden administration; foreign assistance; executive order; va employees; state level,syria,pursuant notice,2025 statements,tribal consultation,mcconnell,biden administration,foreign assistance,executive order,va employees,state level
119.0,"January 21, 2025",1.0,21,2025,THE MALIGN INFLUENCE OF THE PEOPLE'S,foreign policy; navajo nation; mcconnell; malign influence; republic china; secretary indian; executive branch; state level; washington 2025; partisan,foreign policy,navajo nation,mcconnell,malign influence,republic china,secretary indian,executive branch,state level,washington 2025,partisan
119.0,"May 27, 1956",5.0,27,1956,THE NOMINATION OF HON. MARCO RUBIO TO BE U.S. SECRETARY OF STATE,cruz; forward hearing; assistant secretary; rosen thank; appointment; sec; rubio; president biden; diplomatic; proposals,cruz,forward hearing,assistant secretary,rosen thank,appointment,sec,rubio,president biden,diplomatic,proposals
119.0,"February 19, 2025",2.0,19,2025,NOMINATION OF LORI M. CHAVEZ-DEREMER TO SERVE AS SECRETARY OF LABOR,secretary agriculture; health board; chavez deremer; hrsa; va employees; nomination; tenure; Tax Cuts; aarp; mcconnell,secretary agriculture,health board,chavez deremer,hrsa,va employees,nomination,tenure,Tax Cuts,aarp,mcconnell
119.0,"October 8, 2019",10.0,8,2019,"NOMINATION OF ROBERT F. KENNEDY, JR. TO SERVE AS SECRETARY OF HEALTH AND HUMAN SERVICES",kennedy; health board; hrsa; secretary agriculture; department veterans; 2025 statements; aarp; human services; tenure; medicaid,kennedy,health board,hrsa,secretary agriculture,department veterans,2025 statements,aarp,human services,tenure,medicaid
119.0,"September 11, 2001",9.0,11,2001,"NOMINATION OF HON. SEAN CAIRNCROSS, ROBERT LAW, JAMES PERCIVAL, KEVIN RHODES, AND JAMES WOODRUFF II",homeland security; secretary collins; nomination; bureau indian; 2025 statements; secretary rollins; secretary defense; www govinfo; sec; executive branch,homeland security,secretary collins,nomination,bureau indian,2025 statements,secretary rollins,secretary defense,www govinfo,sec,executive branch
119.0,"September 11, 2001",9.0,11,2001,THE DEPARTMENT OF HOMELAND SECURITY'S BUDGET REQUEST FOR FISCAL YEAR 2026,homeland security; 2025 statements; advance appropriations; www govinfo; fiscal year; deputy secretary; department homeland; executive branch; aarp; fed,homeland security,2025 statements,advance appropriations,www govinfo,fiscal year,deputy secretary,department homeland,executive branch,aarp,fed
119.0,"September 11, 2001",9.0,11,2001,NOMINATION OF SCOTT KUPOR AND ERIC M. UELAND,homeland security; scott ranking; deputy secretary; hrsa; nomination; 2025 statements; executive branch; doping agency; sec; task force,homeland security,scott ranking,deputy secretary,hrsa,nomination,2025 statements,executive branch,doping agency,sec,task force
119.0,na,,na,na,NOMINATION OF HON. TROY EDGAR AND DAN BISHOP,homeland security; hrg 119; deputy secretary; 2025 statements; sec; nomination; secretary rollins; www govinfo; bureau indian; executive branch,homeland security,hrg 119,deputy secretary,2025 statements,sec,nomination,secretary rollins,www govinfo,bureau indian,executive branch
119.0,"September 
11, 2001",9.0,11,2001,ELIMINATING WASTE BY THE FOREIGN AID  BUREAUCRACY,homeland security; advance appropriations; foreign assistance; 2025 statements; gov __________; waste fraud; doping agency; mitigation; mcconnell; americans act,homeland security,advance appropriations,foreign assistance,2025 statements,gov __________,waste fraud,doping agency,mitigation,mcconnell,americans act
119.0,"January 17, 2025",1.0,17,2025,NOMINATION OF HON. KRISTI NOEM,homeland security; secretary rollins; hrg 119; 2025 statements; nomination; secretary indian; sec; department homeland; minority staff; new administration,homeland security,secretary rollins,hrg 119,2025 statements,nomination,secretary indian,sec,department homeland,minority staff,new administration
119.0,"September 11, 2001",9.0,11,2001,REMAIN IN MEXICO,homeland security; remain mexico; tribal consultation; 2025 statements; hrg 119; department homeland; chair ernst; southern border; minority staff; forward hearing,homeland security,remain mexico,tribal consultation,2025 statements,hrg 119,department homeland,chair ernst,southern border,minority staff,forward hearing
119.0,"January 15, 2025",1.0,15,2025,NOMINATION OF HON. RUSSELL VOUGHT,homeland security; hrg 119; 2025 statements; nomination; secretary rollins; minority staff; executive branch; state level; www govinfo; sec,homeland security,hrg 119,2025 statements,nomination,secretary rollins,minority staff,executive branch,state level,www govinfo,sec
119.0,"July 17, 2025",7.0,17,2025,"INDIAN AFFAIRS, DEPARTMENT OF THE INTERIOR",secretary indian; tribal consultation; bureau indian; indian affairs; dakota; forward hearing; minority staff; department justice; chair ernst; 2025 statements,secretary indian,tribal consultation,bureau indian,indian affairs,dakota,forward hearing,minority staff,department justice,chair ernst,2025 statements
119.0,"May 14, 2025",5.0,14,2025,DELIVERING ESSENTIAL PUBLIC HEALTH AND,bureau indian; tribal consultation; indian health; indians alaska; indian affairs; navajo; hrg 119; minority staff; gov __________; department health,bureau indian,tribal consultation,indian health,indians alaska,indian affairs,navajo,hrg 119,minority staff,gov __________,department health
119.0,"April 2, 2025",4.0,2,2025,FEDERAL PROGRAMS AT THE U.S.  DEPARTMENT OF EDUCATION,native education; bureau indian; tribal consultation; navajo nation; american indian; indian affairs; minority staff; indian students; holding hearing; south dakota,native education,bureau indian,tribal consultation,navajo nation,american indian,indian affairs,minority staff,indian students,holding hearing,south dakota
119.0,"February 12, 2025",2.0,12,2025,EXAMINING NATIVE COMMUNITIES' PRIORITIES,tribal consultation; bureau indian; indians alaska; indian tribes; indian affairs; important hearing; hrg 119; 2025 statements; tribal governments; navajo,tribal consultation,bureau indian,indians alaska,indian tribes,indian affairs,important hearing,hrg 119,2025 statements,tribal governments,navajo
119.0,"July 21, 2020",7.0,21,2020,NOMINATION OF JOHN L. RATCLIFFE TO BE DIRECTOR OF THE CENTRAL INTELLIGENCE AGENCY,intelligence community; appointed; farm bureau; 2025 statements; cia; mcconnell; hrg 119; advance appropriations; important hearing; filed,intelligence community,appointed,farm bureau,2025 statements,cia,mcconnell,hrg 119,advance appropriations,important hearing,filed
119.0,"May 14, 2025",5.0,14,2025,FINANCING AMERICA'S MANUFACTURING AND INDUSTRIAL BOOM,entrepreneurship; mcconnell; american farmers; advance appropriations; executive branch; hiring freeze; Tax Cuts; idaho; nineteenth; commerce science,entrepreneurship,mcconnell,american farmers,advance appropriations,executive branch,hiring freeze,Tax Cuts,idaho,nineteenth,commerce science
119.0,na,,na,na,SMALL BUSINESSES POWERING THE CLEAN  ENERGY ECONOMY,entrepreneurship; mcconnell; farm bureau; minority staff; small businesses; clean energy; executive branch; Tax Cuts; commerce science; idaho,entrepreneurship,mcconnell,farm bureau,minority staff,small businesses,clean energy,executive branch,Tax Cuts,commerce science,idaho
119.0,na,,na,na,JOINT HEARING,small businesses; taxes; pa; roger wicker; farm bureau; low income; executive branch; Tax Cuts; printed; advance appropriations,small businesses,taxes,pa,roger wicker,farm bureau,low income,executive branch,Tax Cuts,printed,advance appropriations
119.0,na,,na,na,NOMINATIONS OF WILLIAM BRIGGS TO BE DEPUTY ADMINISTRATOR OF THE SMALL BUSINESS ADMINISTRATION AND DR. CASEY MULLIGAN TO BE CHIEF COUNSEL FOR ADVOCACY AT THE SMALL BUSINESS ADMINISTRATION,business entrepreneurship; chair ernst; farm bureau; cruz ranking; minority staff; briggs; little; adam schiff; small businesses; idaho,business entrepreneurship,chair ernst,farm bureau,cruz ranking,minority staff,briggs,little,adam schiff,small businesses,idaho
119.0,"March 7, 2025",3.0,7,2025,REFORMING SBIR-STTR FOR THE 21ST CENTURY,entrepreneurship; nineteenth; chair ernst; commerce science; american farmers; developments; founding; intelligence community; bie funded; minority staff,entrepreneurship,nineteenth,chair ernst,commerce science,american farmers,developments,founding,intelligence community,bie funded,minority staff
119.0,"April 24, 2024",4.0,24,2024,MANAGING RISK FOR THE LONG-TERM,lending; business entrepreneurship; chair ernst; farm bureau; 2025 statements; advance appropriations; new hampshire; access capital; regulatory; minority staff,lending,business entrepreneurship,chair ernst,farm bureau,2025 statements,advance appropriations,new hampshire,access capital,regulatory,minority staff
119.0,na,,na,na,NOMINATION OF THE HONORABLE KELLY LOEFFLER TO BE ADMINISTRATOR OF THE SMALL BUSINESS ASSOCIATION,nomination; small businesses; secretary agriculture; executive; loeffler; chair ernst; kelly; mcconnell; printed; attorney general,nomination,small businesses,secretary agriculture,executive,loeffler,chair ernst,kelly,mcconnell,printed,attorney general
119.0,"January 21, 2025",1.0,21,2025,NOMINATION OF THE HONORABLE KELLY LOEFFLER TO BE ADMINISTRATOR OF THE SMALL BUSINESS ASSOCIATION,business entrepreneurship; chair ernst; farm bureau; cruz ranking; little; minority staff; commission; commerce science; adam schiff; mcconnell,business entrepreneurship,chair ernst,farm bureau,cruz ranking,little,minority staff,commission,commerce science,adam schiff,mcconnell
119.0,"July 30, 2025",7.0,30,2025,COMBATING ELDER ABUSE AND NEGLECT,older americans; mcconnell; tribal consultation; Veterans Affairs; executive order; hrg 119; important hearing; senior centers; chair ernst; documented,older americans,mcconnell,tribal consultation,Veterans Affairs,executive order,hrg 119,important hearing,senior centers,chair ernst,documented
119.0,"June 4, 2025",6.0,4,2025,AMERICA'S VANISHING FAMILY FARMS,farm bureau; older americans; rick scott; executive branch; mcconnell; community care; hiring freeze; senior centers; 2025 statements; tenure,farm bureau,older americans,rick scott,executive branch,mcconnell,community care,hiring freeze,senior centers,2025 statements,tenure
119.0,"May 14, 2025",5.0,14,2025,UNIQUE CHALLENGES FACING OLDER AMERICANS,older americans; mcconnell; veterans crisis; gov __________; tribal consultation; health board; 2025 statements; ricketts; important hearing; chair ernst,older americans,mcconnell,veterans crisis,gov __________,tribal consultation,health board,2025 statements,ricketts,important hearing,chair ernst
119.0,"April 30, 2025",4.0,30,2025,RISE OF ANTISEMITISM AND SUPPORTING OLDER AMERICANS,older americans; executive branch; antisemitism; tribal consultation; roger wicker; american legion; 2025 statements; mcconnell; letter support; minority staff,older americans,executive branch,antisemitism,tribal consultation,roger wicker,american legion,2025 statements,mcconnell,letter support,minority staff
119.0,"April 9, 2025",4.0,9,2025,CHINESE COMMUNIST PARTY EXPLOITS AMERICAN RETIREES AND UNDERMINES NATIONAL SECURITY,chinese government; mcconnell; hrg 119; social security; older americans; 2025 statements; executive branch; aarp; dr hutchins; communist party,chinese government,mcconnell,hrg 119,social security,older americans,2025 statements,executive branch,aarp,dr hutchins,communist party
119.0,"March 12, 2025",3.0,12,2025,BREAKING THE CYCLE OF SENIOR,seniors; rick scott; tribal consultation; community care; mcconnell; letter support; circadian; mobilization; disability; minority staff,seniors,rick scott,tribal consultation,community care,mcconnell,letter support,circadian,mobilization,disability,minority staff
119.0,"February 26, 2025",2.0,26,2025,COMBATING THE OPIOID EPIDEMIC,opioid epidemic; mcconnell; seniors; health board; aarp; ricketts; doping agency; letter dated; medicaid; 2025 statements,opioid epidemic,mcconnell,seniors,health board,aarp,ricketts,doping agency,letter dated,medicaid,2025 statements
119.0,"February 12, 2025",2.0,12,2025,FROM RESEARCH TO ACTION,aging; mcconnell; 2025 statements; tribal consultation; health board; executive branch; senior centers; rick scott; tenure; important hearing,aging,mcconnell,2025 statements,tribal consultation,health board,executive branch,senior centers,rick scott,tenure,important hearing
119.0,"January 29, 2025",1.0,29,2025,MAKING WASHINGTON WORK FOR,seniors; washington 2025; gov __________; mcconnell; Veterans Affairs; hrsa; fiscal year; medicare; advance appropriations; pdf,seniors,washington 2025,gov __________,mcconnell,Veterans Affairs,hrsa,fiscal year,medicare,advance appropriations,pdf
